candidate_id,class_id,eligible,valid_fold_count,utility_median,utility_mean,utility_std
dwbg_1_42_23_000070,1,False,0,,,
dwbg_1_42_29_000074,1,True,3,-0.24970464479380367,-0.06585292117798004,0.26648980178925946
dwbg_1_42_2_000068,1,False,0,,,
dwbg_1_42_34_000078,1,False,0,,,
dwbg_1_42_35_000079,1,True,3,0.3115320877796339,0.3040921414765851,0.03964365428990464
dwbg_1_42_3_000075,1,False,0,,,
dwbg_1_42_4_000080,1,False,0,,,
dwbg_1_42_9_000082,1,False,0,,,
dwbg_1_7859_16_000237,1,True,3,-0.005099645359737488,0.15028784655076935,0.23409156210943144
dwbg_1_7859_20_000239,1,True,3,0.2221254677120261,0.0163749652755861,0.32845159572104593
dwbg_1_7859_23_000241,1,False,0,,,
dwbg_1_7859_28_000246,1,False,0,,,
dwbg_1_7859_29_000247,1,True,3,-0.034295173729472446,-0.18772898507361283,0.5964431516291022
dwbg_1_7859_34_000248,1,False,0,,,
dwbg_1_7859_5_000251,1,True,3,0.17542873867218386,0.053807719143093825,0.23147839095825198
dwbg_1_7859_8_000253,1,True,3,-0.15436259359929647,-0.11873674954164615,0.32341422589775576
dwbg_0_19997_12_000001_c10010,0,True,3,0.07272699169744685,0.1192516400352175,0.11564110469263562
dwbg_0_15683_65_000381,0,False,0,,,
dwbg_0_3407_35_000110,0,False,0,,,
dwbg_0_19997_17_000002_c10010,0,True,3,-0.6315998330034239,-0.5997411711332928,0.6674824462235586
dwbg_0_30103_43_000619,0,True,3,-1.318963643271431,-1.2245471776380643,0.9612562956732603
dwbg_0_24571_35_000525,0,True,3,-0.02340268419496501,-0.04842693598895701,0.07685393425158737
dwbg_0_42_63_000050,0,True,3,-0.5289761052427966,-0.3815988847230118,0.3497896681455
dwbg_0_3407_51_000121,0,False,0,,,
dwbg_0_24571_20_000512,0,True,3,-0.10563112444122685,-0.21795815003302152,0.32537534912348437
dwbg_0_7859_53_000210,0,True,3,-0.42198175364197327,-0.30962086415430323,0.5003334361806671
dwbg_0_15683_52_000371,0,True,3,-1.306103035984566,-1.1175618714958981,0.5716567105688575
dwbg_0_3407_9_000143,0,True,3,0.045970835652100514,0.012227982389736691,0.20664551795013245
dwbg_0_19997_10_000001_c14014,0,True,3,-0.2364084322107652,-0.2672359026659778,0.17411978229725297
dwbg_0_24571_16_000509,0,True,3,-0.16357888119820976,-0.12738380411161457,0.3801018858419897
dwbg_0_19997_27_000433,0,True,3,0.05918337551598589,-0.03938279482953687,0.35677654314327023
dwbg_0_24571_0_000000_c2002,0,True,3,-0.4131209483801364,-0.23329114181449848,0.40104880364375406
dwbg_0_7859_22_000181,0,False,0,,,
dwbg_0_19997_7_000471,0,True,3,-0.16795109531034325,-0.3184432638332353,0.4004650650344026
dwbg_0_7859_63_000219,0,True,2,0.08611103708411326,0.08611103708411326,0.02626991015752242
dwbg_0_19997_14_000420,0,True,3,-0.047148903535878174,0.0007828305010648753,0.2458869341177293
dwbg_0_15683_54_000373,0,True,3,-1.3344848537386316,-1.0396189453433449,0.7395005330277237
dwbg_0_7859_35_000192,0,False,0,,,
dwbg_0_24571_64_000548,0,True,3,0.1148986184890084,-0.10651299147618987,0.5237817395361152
dwbg_0_15683_10_000002_c3003,0,True,3,-0.09857777334264999,-0.10965177912983204,0.33801183899702114
dwbg_0_30103_46_000622,0,False,0,,,
dwbg_0_3407_45_000117,0,True,3,-0.27812268676002533,-0.3648030947227497,0.6410729961258902
dwbg_0_3407_33_000108,0,True,3,-0.04575059862420191,-0.04836064278515539,0.37555097457280995
dwbg_0_12011_29_000271,0,False,0,,,
dwbg_0_3407_68_000136,0,False,0,,,
dwbg_0_24571_42_000531,0,False,0,,,
dwbg_0_12011_58_000293,0,False,0,,,
dwbg_0_30103_37_000613,0,True,3,-0.0033950939358930086,-0.058234350680360064,0.3027922769461342
dwbg_0_24571_56_000541,0,True,3,-0.17389667455679161,-0.32301518018821457,0.5602784198527233
dwbg_0_19997_20_000426,0,True,3,-0.1056544426278335,0.03379324587948981,0.2244649089511351
dwbg_0_12011_10_000001_c7007,0,True,3,0.09849472396158422,0.15550707917497306,0.1425441193316419
dwbg_0_3407_32_000107,0,False,0,,,
dwbg_0_7859_28_000186,0,False,0,,,
dwbg_0_30103_0_000586,0,True,3,-0.3553346653797914,-0.2857436842000257,0.29620892542920085
dwbg_0_12011_18_000263,0,False,0,,,
dwbg_0_42_30_000019,0,True,3,-0.014151339823922807,0.0802538140997227,0.1365108933794728
dwbg_1_15683_16_000397,1,True,3,0.23038076541091504,0.048142934163649564,0.2644623255540665
dwbg_1_15683_33_000409,1,False,0,,,
dwbg_1_19997_19_000483,1,True,3,0.20624895696617307,0.13095381753043464,0.22937302331683235
dwbg_1_12011_13_000317,1,False,0,,,
dwbg_1_19997_14_000480,1,True,3,0.07984773962390612,0.03357455578385813,0.2630386597816983
dwbg_1_19997_15_000481,1,True,3,-0.32566555045361867,-0.22450611804405182,0.21497637556831847
dwbg_1_42_15_000066,1,True,3,0.2410531653047548,0.1371492287662438,0.19968480464842264
dwbg_1_7859_12_000235,1,True,3,0.012310076685188595,0.0802466517826631,0.2268107358750988
dwbg_1_12011_19_000322,1,True,3,-0.3367723045043977,-0.16145564334957277,0.2638987358168955
dwbg_1_19997_22_000486,1,True,3,-0.21153730254691985,-0.09231936188668467,0.40115665464376443
dwbg_1_3407_22_000154,1,True,3,-0.100652175300685,-0.2297909185597096,0.18520294485551334
dwbg_1_15683_4_000412,1,True,3,-0.2749491364362873,-0.19076441852410508,0.3556730923094108
dwbg_1_24571_30_000578,1,False,0,,,
dwbg_1_42_10_000063,1,False,0,,,
dwbg_1_15683_9_000415,1,False,0,,,
dwbg_1_30103_27_000666,1,False,0,,,
dwbg_1_7859_26_000244,1,False,0,,,
dwbg_1_3407_20_000152,1,True,3,0.03211540443255443,0.016980173495979967,0.23971090738250983
dwbg_1_7859_24_000242,1,False,0,,,
dwbg_1_15683_18_000399,1,False,0,,,
dwbg_1_12011_12_000316,1,False,0,,,
dwbg_1_42_24_000071,1,True,3,-0.35197118536919597,-0.44313898753100983,0.1328704815403531
dwbg_1_3407_31_000160,1,False,0,,,
dwbg_1_7859_27_000245,1,False,0,,,
dwbg_1_12011_23_000326,1,True,3,0.2756613631158786,0.3174824293483865,0.09668979443419996
dwbg_1_19997_35_000498,1,True,3,0.15862706224262366,-0.3240612009390614,0.8064965927935094
dwbg_1_42_14_000065,1,True,3,0.23349246487081268,0.05463827794584317,0.33081043963424484
dwbg_1_12011_11_000315,1,True,3,-0.3945936758043002,-0.17374905189747444,0.3546727930145798
dwbg_1_7859_6_000252,1,True,3,-0.22213951571157875,-0.3158884956084429,0.3695095744481897
dwbg_1_19997_20_000484,1,False,0,,,
dwbg_1_7859_35_000249,1,True,3,-0.25070515912907454,-0.19190070257372485,0.16875063778041097
dwbg_1_19997_23_000487,1,True,3,-0.7461948706766827,-0.8253935510300479,0.12925026485319566
dwbg_1_30103_28_000667,1,True,3,-0.3740402950675865,-0.2769074253623362,0.44642765265877854
dwbg_1_12011_21_000324,1,True,3,0.015904949770411896,-0.08710891718875413,0.4067997340054043
dwbg_1_3407_11_000144,1,False,0,,,
dwbg_1_30103_16_000658,1,True,3,0.2848507743752525,0.019836322381372562,0.38761073071495517
dwbg_1_3407_21_000153,1,True,3,0.2601319408278937,0.0034328269697967797,0.4152203137986395
dwbg_1_15683_32_000408,1,True,3,0.34753321976582746,0.37132110458006945,0.044036924126977885
dwbg_1_19997_8_000501,1,False,0,,,
dwbg_1_3407_33_000162,1,False,0,,,
