instance_id,image,gt_index,fold,class,yolo_iou,yolo_conf,yolo_status,rtdetr_iou,rtdetr_conf,rtdetr_status
fold0:img_2037_pre_part_1:0,img_2037_pre_part_1.jpg,0,0,0,0.7960801446144987,0.05380427837371826,localized_low_conf,0.7736102642536481,0.07811079174280167,localized_low_conf
fold0:img_2072_pre_part_1:0,img_2072_pre_part_1.jpg,0,0,0,0.7426472766823161,0.5797845125198364,success,0.925437279453023,0.08546994626522064,localized_low_conf
fold0:img_20948_pre_part_1:0,img_20948_pre_part_1.jpg,0,0,0,0.6994568360343907,0.5794178247451782,success,0.7437785908363098,0.053698956966400146,localized_low_conf
fold0:img_2248_pre_part_1:0,img_2248_pre_part_1.jpg,0,0,0,0.8847168632641121,0.48352158069610596,success,0.834165615523834,0.0652206614613533,localized_low_conf
fold0:img_22731_pre_part_0:0,img_22731_pre_part_0.jpg,0,0,1,0.745117973492236,0.037065524607896805,localized_low_conf,0.857598855986087,0.07840341329574585,localized_low_conf
fold0:img_24729_pre_part_1:0,img_24729_pre_part_1.jpg,0,0,0,0.6997067242747738,0.271771639585495,success,0.760644999879919,0.7988923192024231,success
fold0:img_2500_pre_part_1:0,img_2500_pre_part_1.jpg,0,0,0,0.7953797556045394,0.0357816256582737,localized_low_conf,0.7558826839483311,0.08824469894170761,localized_low_conf
fold0:img_2871_pre_part_1:0,img_2871_pre_part_1.jpg,0,0,0,0.7379349428142239,0.5214110612869263,success,0.7754744375730827,0.7899752259254456,success
fold0:img_3040_pre_part_1:0,img_3040_pre_part_1.jpg,0,0,0,0.5060005272687903,0.46572938561439514,success,0.6886825268181727,0.7978827953338623,success
fold0:img_3190_pre_part_0:0,img_3190_pre_part_0.jpg,0,0,1,0.7863489484673643,0.028209585696458817,localized_low_conf,0.6394080881700198,0.07036321610212326,localized_low_conf
fold0:img_3626_pre_part_1:0,img_3626_pre_part_1.jpg,0,0,0,0.7296507347101688,0.6496109366416931,success,0.7743044854153941,0.07186669111251831,localized_low_conf
fold0:img_4515_pre_part_0:0,img_4515_pre_part_0.jpg,0,0,0,0.7083680122802721,0.24175502359867096,localized_low_conf,0.6944129508287944,0.7454075217247009,success
fold0:img_460_pre_part_0:0,img_460_pre_part_0.jpg,0,0,1,0.8272827220735012,0.4645650386810303,success,0.7724719533588441,0.1251293271780014,localized_low_conf
fold0:img_4937_pre_part_1:0,img_4937_pre_part_1.jpg,0,0,0,0.644356998159215,0.017220376059412956,localized_low_conf,0.8306697659156247,0.06330843269824982,localized_low_conf
fold0:img_5107_pre_part_1:0,img_5107_pre_part_1.jpg,0,0,0,0.7744645596985319,0.14895415306091309,localized_low_conf,0.7485837422081671,0.07994581013917923,localized_low_conf
fold0:img_8297_pre_part_1:0,img_8297_pre_part_1.jpg,0,0,0,0.8780522355050359,0.5857723355293274,success,0.8765911683688331,0.7993483543395996,success
fold0:img_8363_pre_part_1:0,img_8363_pre_part_1.jpg,0,0,1,0.6585768362702286,0.4620279371738434,success,0.6083172764921443,0.7029984593391418,success
fold0:img_8747_pre_part_1:0,img_8747_pre_part_1.jpg,0,0,1,0.6548890764998868,0.23967018723487854,localized_low_conf,0.1842850967167886,0.020897476002573967,localization_failure
fold0:img_9438_pre_part_0:0,img_9438_pre_part_0.jpg,0,0,0,0.8876338914028161,0.03785734623670578,localized_low_conf,0.6883019546167707,0.041679441928863525,localized_low_conf
fold0:img_9504_pre_part_1:0,img_9504_pre_part_1.jpg,0,0,0,0.827775068634235,0.6391180157661438,success,0.8206092357260545,0.07892418652772903,localized_low_conf
fold0:img_9730_pre_part_1:0,img_9730_pre_part_1.jpg,0,0,0,0.8596794198831182,0.21333667635917664,localized_low_conf,0.736473011877429,0.7933226227760315,success
fold1:blackinst_10:0,blackinst_10.jpg,0,1,1,0.4984337780098447,0.07726312428712845,localization_failure,0.7795580902917113,0.06130170822143555,localized_low_conf
fold1:blackinst_13:0,blackinst_13.jpg,0,1,1,0.8890322664173326,0.828812837600708,success,0.8940048895391108,0.7604923844337463,success
fold1:blackinst_13:1,blackinst_13.jpg,1,1,1,0.869583333129006,0.7706620693206787,success,0.8807499540005005,0.08598998188972473,localized_low_conf
fold1:blackinst_13:2,blackinst_13.jpg,2,1,1,0.8207542924335409,0.6354402899742126,success,0.8008609924845119,0.05448178946971893,localized_low_conf
fold1:blackinst_17:0,blackinst_17.jpg,0,1,1,0.7867348021631816,0.7458934187889099,success,0.8083004081224378,0.11552833020687103,localized_low_conf
fold1:blackinst_17:1,blackinst_17.jpg,1,1,1,0.944379622778613,0.7657172679901123,success,0.8860545996077727,0.07838638871908188,localized_low_conf
fold1:blackinst_17:2,blackinst_17.jpg,2,1,1,0.822290447891515,0.7492638826370239,success,0.8096764019630525,0.06654611229896545,localized_low_conf
fold1:blackinst_17:3,blackinst_17.jpg,3,1,1,0.7455864332121995,0.13401129841804504,localized_low_conf,0.4988438020246159,0.04437744617462158,localization_failure
fold1:blackinst_24:0,blackinst_24.jpg,0,1,1,0.8573107589699759,0.766666054725647,success,0.7563971875648525,0.7444612383842468,success
fold1:blackinst_24:1,blackinst_24.jpg,1,1,1,0.9501502275857648,0.6117202043533325,success,0.8988560857697286,0.08799088001251221,localized_low_conf
