candidate_id,class_id,scale_bin,contrast_bin,morphology_bin,median_confidence,median_iou,std_confidence,std_iou,weakness_score,boundary_score,manifold_score,consensus_score,anchor_score,final_score,manifold_valid,selected,selection_group
dwbg_0_42_32_000021,0,large,medium,compact,0.0012080991873517632,0.720041811466217,0.045630402863025665,0.3502337634563446,0.19203629032258066,0.0,0.7651463937957508,0.13816304142511068,0.024312563350534274,4.7774489374090054e-14,True,False,
dwbg_0_42_33_000022,0,medium,high,medium,0.0,0.0,0.001200817059725523,0.38204213976860046,0.20161290322580644,0.0,0.7022513095454829,0.1471629527367375,0.023525763965543206,4.55151948909097e-14,True,False,
dwbg_0_42_34_000023,0,large,low,compact,0.0012938478030264378,0.5264796018600464,0.03212440386414528,0.26070094108581543,0.18636592741935484,0.0,0.7454282438102822,0.23127987430496105,0.03980046421808116,5.76825168992411e-14,True,False,
dwbg_0_42_35_000024,0,medium,low,elongated,0.006337645463645458,0.42250561714172363,0.006399724166840315,0.2717888653278351,0.19997479838709675,0.0,0.6624175201501642,0.2488405504003341,0.03841216031460013,5.378158039306191e-14,True,False,
dwbg_0_42_36_000025,0,medium,medium,medium,0.2088528871536255,0.5270026922225952,0.13663774728775024,0.26455754041671753,0.20967741935483872,0.6272042332338011,0.7595717852440442,0.13452887236920041,0.04838189131336129,0.025288677700971325,True,True,hard
dwbg_0_42_37_000026,0,medium,medium,compact,0.16411921381950378,0.8341845273971558,0.05838821083307266,0.06676704436540604,0.2001008064516129,0.346954624261413,0.33159683452154304,0.5348460791561037,0.07213723939645059,0.005710680086042836,False,False,
dwbg_0_42_40_000027,0,large,medium,medium,0.0017686428036540747,0.6669300198554993,0.0029433106537908316,0.05072113126516342,0.20161290322580647,0.0,0.7586453219230964,0.7646613601784026,0.1328839751827956,1.1649601570065634e-13,True,False,
dwbg_0_42_41_000028,0,large,low,elongated,0.13684004545211792,0.2547357380390167,0.18867357075214386,0.14913931488990784,0.1919102822580645,0.0,0.5367592450024747,0.18469223603395246,0.03680708185322597,3.24333541160836e-14,True,False,
dwbg_0_42_42_000029,0,large,high,elongated,0.009907030500471592,0.40953364968299866,0.014652873389422894,0.19939705729484558,0.18951612903225806,0.0,0.64676198069179,0.34292289485721095,0.05268055029304652,5.772462779780753e-14,True,False,
dwbg_0_42_43_000030,0,medium,medium,elongated,0.0,0.0,0.0018750171875581145,0.3081154227256775,0.20564516129032256,0.0,0.5040931610274464,0.2122581196144544,0.02429563869572652,3.3909146584042435e-14,True,False,
dwbg_0_42_44_000031,0,medium,low,elongated,0.1314953863620758,0.7042233347892761,0.05509154871106148,0.04019075259566307,0.19997479838709675,0.20630952573695235,0.5361714752627209,0.621007880859843,0.1207065099658057,0.005797734221767067,True,False,
dwbg_0_42_45_000032,0,tiny,medium,elongated,0.06813275814056396,0.0,0.08077633380889893,0.0,0.2338709677419355,0.0,0.4523478367592333,0.6677231289101688,0.08567203626321859,5.814110737906136e-14,True,False,
dwbg_0_42_46_000033,0,tiny,medium,compact,0.0,0.0,0.007371773477643728,0.299011766910553,0.2283266129032258,0.0,0.6361199360278106,0.21612081435580444,0.030767931018780382,5.385342657947927e-14,True,False,
dwbg_0_42_47_000034,0,tiny,medium,elongated,0.0,0.0,0.0,0.0,0.2338709677419355,0.0,0.6639043061533616,1.0,0.14804794226430762,1.2651282136148916e-13,True,False,
dwbg_0_42_48_000035,0,tiny,low,compact,0.0,0.0,0.0,0.0,0.22265625,0.0,0.6238532557884622,1.0,0.1401312291312558,1.0971311839703633e-13,True,False,
